Layer#,DLYER,SAT,DUL,LL,ADRY,iWL,DRAINF,FG,BDL,NORG,FMIN,iNSOL
<-- SoilRowNo,,,,,,,,,,,,
Code,Description:,,,,,,,,,,,
Eustis_NE,,,,,,,,,,,,
NLYER,LDRAIN,SALB,U,CN2,,,,,,,,
10,0,0.13,6,72,,,,,,,,
1,200,0.443299436210496,0.261232455410496,0.125548816,0.062774408,0.261232455410496,0.7,0,1.47525649404218,1.16279069767442,0.1,
2,200,0.443299436210496,0.261232455410496,0.125548816,0.062774408,0.261232455410496,0.7,0,1.47525649404218,1.16279069767442,0.1,
3,200,0.443299436210496,0.261232455410496,0.125548816,0.062774408,0.261232455410496,0.7,0,1.47525649404218,1.16279069767442,0.1,
4,200,0.443299436210496,0.261232455410496,0.125548816,0.062774408,0.261232455410496,0.7,0,1.47525649404218,1.16279069767442,0.1,
5,200,0.403345191962513,0.154544775202513,0.0677029702,0.0677029702,0.154544775202513,0.7,0,1.58113524129934,0.436046511627907,0.1,
6,200,0.403345191962513,0.154544775202513,0.0677029702,0.0677029702,0.154544775202513,0.7,0,1.58113524129934,0.436046511627907,0.1,
7,200,0.403345191962513,0.154544775202513,0.0677029702,0.0677029702,0.154544775202513,0.7,0,1.58113524129934,0.436046511627907,0.1,
8,200,0.389965312158322,0.156080555158322,0.075035245,0.075035245,0.156080555158322,0.7,0,1.61659192278045,0.145348837209302,0.1,
9,200,0.389965312158322,0.156080555158322,0.075035245,0.075035245,0.156080555158322,0.7,0,1.61659192278045,0.145348837209302,0.1,
10,200,0.389965312158322,0.156080555158322,0.075035245,0.075035245,0.156080555158322,0.7,0,1.61659192278045,0.145348837209302,0.1,
