Layer#,DLYER,SAT,DUL,LL,ADRY,iWL,DRAINF,FG,BDL,NORG,FMIN,iNSOL
<-- SoilRowNo,,,,,,,,,,,,
Code,Description:,,,,,,,,,,,
Lincoln_NE,,,,,,,,,,,,
NLYER,LDRAIN,SALB,U,CN2,,,,,,,,
10,0,0.13,6,72,,,,,,,,
1,200,0.532618295291312,0.390543871291312,0.21528688,0.10764344,0.390543871291312,0.7,0,1.23856151747802,1.74418604651163,0.1,
2,200,0.527432129157355,0.397036602757355,0.229819828,0.229819828,0.397036602757355,0.7,0,1.25230485773301,1.45348837209302,0.1,
3,200,0.52131376978746,0.41866855058746,0.271025584,0.271025584,0.41866855058746,0.7,0,1.26851851006323,0.581395348837209,0.1,
4,200,0.52131376978746,0.41866855058746,0.271025584,0.271025584,0.41866855058746,0.7,0,1.26851851006323,0.581395348837209,0.1,
5,200,0.492441228247422,0.398348035447422,0.232504756,0.232504756,0.398348035447422,0.7,0,1.34503074514433,0.290697674418605,0.1,
6,200,0.492441228247422,0.398348035447422,0.232504756,0.232504756,0.398348035447422,0.7,0,1.34503074514433,0.290697674418605,0.1,
7,200,0.477563524745351,0.388778497545351,0.215620444,0.215620444,0.388778497545351,0.7,0,1.38445665942482,0.145348837209302,0.1,
8,200,0.477563524745351,0.388778497545351,0.215620444,0.215620444,0.388778497545351,0.7,0,1.38445665942482,0.145348837209302,0.1,
9,200,0.467553504745217,0.379532653145217,0.199029682,0.199029682,0.379532653145217,0.7,0,1.41098321242518,0.145348837209302,0.1,
10,200,0.467553504745217,0.379532653145217,0.199029682,0.199029682,0.379532653145217,0.7,0,1.41098321242518,0.145348837209302,0.1,
