Layer#,DLYER,SAT,DUL,LL,ADRY,iWL,DRAINF,FG,BDL,NORG,FMIN,iNSOL
<-- SoilRowNo,,,,,,,,,,,,
Code,Description:,,,,,,,,,,,
Jonesboro_AR,,,,,,,,,,,,
NLYER,LDRAIN,SALB,U,CN2,,,,,,,,
10,0,0.13,6,72,,,,,,,,
1,200,0.428999005104124,0.276440128184124,0.0832507234,0.0416253617,0.276440128184124,0.7,0,1.51315263647407,0.726744186046512,0.1,
2,200,0.428999005104124,0.276440128184124,0.0832507234,0.0416253617,0.276440128184124,0.7,0,1.51315263647407,0.726744186046512,0.1,
3,200,0.428999005104124,0.276440128184124,0.0832507234,0.0416253617,0.276440128184124,0.7,0,1.51315263647407,0.726744186046512,0.1,
4,200,0.410351606799331,0.270186247879331,0.0800900734,0.0800900734,0.270186247879331,0.7,0,1.56256824198177,0.436046511627907,0.1,
5,200,0.410351606799331,0.270186247879331,0.0800900734,0.0800900734,0.270186247879331,0.7,0,1.56256824198177,0.436046511627907,0.1,
6,200,0.410351606799331,0.270186247879331,0.0800900734,0.0800900734,0.270186247879331,0.7,0,1.56256824198177,0.436046511627907,0.1,
7,200,0.410351606799331,0.270186247879331,0.0800900734,0.0800900734,0.270186247879331,0.7,0,1.56256824198177,0.436046511627907,0.1,
8,200,0.410351606799331,0.270186247879331,0.0800900734,0.0800900734,0.270186247879331,0.7,0,1.56256824198177,0.436046511627907,0.1,
9,200,0.410351606799331,0.270186247879331,0.0800900734,0.0800900734,0.270186247879331,0.7,0,1.56256824198177,0.436046511627907,0.1,
10,200,0.410351606799331,0.270186247879331,0.0800900734,0.0800900734,0.270186247879331,0.7,0,1.56256824198177,0.436046511627907,0.1,
