Layer#,DLYER,SAT,DUL,LL,ADRY,iWL,DRAINF,FG,BDL,NORG,FMIN,iNSOL
<-- SoilRowNo,,,,,,,,,,,,
Code,Description:,,,,,,,,,,,
MountVernon_MO,,,,,,,,,,,,
NLYER,LDRAIN,SALB,U,CN2,,,,,,,,
10,0,0.13,6,72,,,,,,,,
1,200,0.460977402935561,0.333663040375561,0.1307953012,0.0653976506,0.333663040375561,0.7,0,1.42840988222076,0.872093023255814,0.1,
2,200,0.460977402935561,0.333663040375561,0.1307953012,0.0653976506,0.333663040375561,0.7,0,1.42840988222076,0.872093023255814,0.1,
3,200,0.460977402935561,0.333663040375561,0.1307953012,0.0653976506,0.333663040375561,0.7,0,1.42840988222076,0.872093023255814,0.1,
4,200,0.452448576164871,0.340621686180871,0.14666915368,0.14666915368,0.340621686180871,0.7,0,1.45101127316309,0.581395348837209,0.1,
5,200,0.452448576164871,0.340621686180871,0.14666915368,0.14666915368,0.340621686180871,0.7,0,1.45101127316309,0.581395348837209,0.1,
6,200,0.446248439672697,0.345861514552697,0.1695707824,0.1695707824,0.345861514552697,0.7,0,1.46744163486735,0.290697674418605,0.1,
7,200,0.446248439672697,0.345861514552697,0.1695707824,0.1695707824,0.345861514552697,0.7,0,1.46744163486735,0.290697674418605,0.1,
8,200,0.446248439672697,0.345861514552697,0.1695707824,0.1695707824,0.345861514552697,0.7,0,1.46744163486735,0.290697674418605,0.1,
9,200,0.505217347312955,0.425432766512955,0.288705616,0.288705616,0.425432766512955,0.7,0,1.31117402962067,0.116279069767442,0.1,
10,200,0.505217347312955,0.425432766512955,0.288705616,0.288705616,0.425432766512955,0.7,0,1.31117402962067,0.116279069767442,0.1,
