Layer#,DLYER,SAT,DUL,LL,ADRY,iWL,DRAINF,FG,BDL,NORG,FMIN,iNSOL
<-- SoilRowNo,,,,,,,,,,,,
Code,Description:,,,,,,,,,,,
NorthPlatte_NE,,,,,,,,,,,,
NLYER,LDRAIN,SALB,U,CN2,,,,,,,,
10,0,0.13,6,72,,,,,,,,
1,200,0.473519689553373,0.329688338033373,0.1260555004,0.0630277502,0.329688338033373,0.7,0,1.39517282268356,1.16279069767442,0.1,
2,200,0.473519689553373,0.329688338033373,0.1260555004,0.0630277502,0.329688338033373,0.7,0,1.39517282268356,1.16279069767442,0.1,
3,200,0.473519689553373,0.329688338033373,0.1260555004,0.0630277502,0.329688338033373,0.7,0,1.39517282268356,1.16279069767442,0.1,
4,200,0.421352128118005,0.190911727478005,0.0896178628,0.0896178628,0.190911727478005,0.7,0,1.53341686048729,0.872093023255814,0.1,
5,200,0.421352128118005,0.190911727478005,0.0896178628,0.0896178628,0.190911727478005,0.7,0,1.53341686048729,0.872093023255814,0.1,
6,200,0.421352128118005,0.190911727478005,0.0896178628,0.0896178628,0.190911727478005,0.7,0,1.53341686048729,0.872093023255814,0.1,
7,200,0.389632488675943,0.155547771075942,0.060996772,0.060996772,0.155547771075942,0.7,0,1.61747390500875,0.145348837209302,0.1,
8,200,0.389632488675943,0.155547771075942,0.060996772,0.060996772,0.155547771075942,0.7,0,1.61747390500875,0.145348837209302,0.1,
9,200,0.389632488675943,0.155547771075942,0.060996772,0.060996772,0.155547771075942,0.7,0,1.61747390500875,0.145348837209302,0.1,
10,200,0.389632488675943,0.155547771075942,0.060996772,0.060996772,0.155547771075942,0.7,0,1.61747390500875,0.145348837209302,0.1,
