Layer#,DLYER,SAT,DUL,LL,ADRY,iWL,DRAINF,FG,BDL,NORG,FMIN,iNSOL
<-- SoilRowNo,,,,,,,,,,,,
Code,Description:,,,,,,,,,,,
Novelty_MO,,,,,,,,,,,,
NLYER,LDRAIN,SALB,U,CN2,,,,,,,,
10,0,0.13,6,72,,,,,,,,
1,200,0.524306751561336,0.372833772137336,0.17373095248,0.08686547624,0.372833772137336,0.7,0,1.26058710836246,1.74418604651163,0.1,
2,200,0.524306751561336,0.372833772137336,0.17373095248,0.08686547624,0.372833772137336,0.7,0,1.26058710836246,1.74418604651163,0.1,
3,200,0.524306751561336,0.372833772137336,0.17373095248,0.08686547624,0.372833772137336,0.7,0,1.26058710836246,1.74418604651163,0.1,
4,200,0.534096702637702,0.426513124717702,0.2870643124,0.2870643124,0.426513124717702,0.7,0,1.23464373801009,0.755813953488372,0.1,
5,200,0.534096702637702,0.426513124717702,0.2870643124,0.2870643124,0.426513124717702,0.7,0,1.23464373801009,0.755813953488372,0.1,
6,200,0.481629398777402,0.390000754105402,0.21473226544,0.21473226544,0.390000754105402,0.7,0,1.37368209323989,0.232558139534884,0.1,
7,200,0.481629398777402,0.390000754105402,0.21473226544,0.21473226544,0.390000754105402,0.7,0,1.37368209323989,0.232558139534884,0.1,
8,200,0.477474954227974,0.386167681971974,0.20813635312,0.20813635312,0.386167681971974,0.7,0,1.38469137129587,0.232558139534884,0.1,
9,200,0.477474954227974,0.386167681971974,0.20813635312,0.20813635312,0.386167681971974,0.7,0,1.38469137129587,0.232558139534884,0.1,
10,200,0.477474954227974,0.386167681971974,0.20813635312,0.20813635312,0.386167681971974,0.7,0,1.38469137129587,0.232558139534884,0.1,
