Layer#,DLYER,SAT,DUL,LL,ADRY,iWL,DRAINF,FG,BDL,NORG,FMIN,iNSOL
<-- SoilRowNo,,,,,,,,,,,,
Code,Description:,,,,,,,,,,,
Rowher_AR,,,,,,,,,,,,
NLYER,LDRAIN,SALB,U,CN2,,,,,,,,
10,0,0.13,6,72,,,,,,,,
1,200,0.465544289000354,0.297940576240354,0.1272169552,0.0636084776,0.297940576240354,0.7,0,1.41630763414906,1.30813953488372,0.1,
2,200,0.465544289000354,0.297940576240354,0.1272169552,0.0636084776,0.297940576240354,0.7,0,1.41630763414906,1.30813953488372,0.1,
3,200,0.465544289000354,0.297940576240354,0.1272169552,0.0636084776,0.297940576240354,0.7,0,1.41630763414906,1.30813953488372,0.1,
4,200,0.616289697237437,0.516838143237437,0.43123594,0.43123594,0.516838143237437,0.7,0,1.01683230232079,0.145348837209302,0.1,
5,200,0.616289697237437,0.516838143237437,0.43123594,0.43123594,0.516838143237437,0.7,0,1.01683230232079,0.145348837209302,0.1,
6,200,0.616289697237437,0.516838143237437,0.43123594,0.43123594,0.516838143237437,0.7,0,1.01683230232079,0.145348837209302,0.1,
7,200,0.616289697237437,0.516838143237437,0.43123594,0.43123594,0.516838143237437,0.7,0,1.01683230232079,0.145348837209302,0.1,
8,200,0.526167203904121,0.460152622504121,0.337167643,0.337167643,0.460152622504121,0.7,0,1.25565690965408,0.145348837209302,0.1,
9,200,0.526167203904121,0.460152622504121,0.337167643,0.337167643,0.460152622504121,0.7,0,1.25565690965408,0.145348837209302,0.1,
10,200,0.526167203904121,0.460152622504121,0.337167643,0.337167643,0.460152622504121,0.7,0,1.25565690965408,0.145348837209302,0.1,
